seccional,direccion,localidad,direccion_limpia,direccion_completa_limpia,location,lat,lon
MORON Nº 05,MUNILLA 981,MORON,MUNILLA 981,"MUNILLA 981, MORON, Argentina","981, General Eduardo Munilla, Morón, Partido de Morón, Buenos Aires, B1708KCH, Argentina",-34.6444531,-58.6221846
LANUS Nº 3,AMANCIO ALCORTA 143,LANUS,AMANCIO ALCORTA 143,"AMANCIO ALCORTA 143, LANUS, Argentina","143, Amancio Alcorta, Lanús Centro Oeste, Lanús Oeste, Partido de Lanús, Buenos Aires, 1824, Argentina",-34.7002531,-58.3939476
LANUS Nº 4,GOBERNADOR IRIGOYEN 334,LANUS,GOBERNADOR IRIGOYEN 334,"GOBERNADOR IRIGOYEN 334, LANUS, Argentina","334, Gobernador Irigoyen, Lanús Centro Oeste, Lanús Oeste, Partido de Lanús, Buenos Aires, 1824, Argentina",-34.7058333,-58.3962245
PILAR Nº 3,TUCUMAN 501,PILAR,TUCUMAN 501,"TUCUMAN 501, PILAR, Argentina","501, Tucumán, Villa Morra, Pilar, Partido del Pilar, Buenos Aires, 1629, Argentina",-34.4556642,-58.9120617
AVELLANEDA Nº 6,COMANDANTE CRAIG 26,SARANDI,COMANDANTE CRAIG 26,"COMANDANTE CRAIG 26, SARANDI, Argentina","26, Comandante Craig, La Saladita, Villa Cristóbal Colón, Sarandí, Partido de Avellaneda, Buenos Aires, 1872, Argentina",-34.6780394,-58.3462774
ADROGUE Nº 2,SPIRO 1018,ADROGUE,SPIRO 1018,"SPIRO 1018, ADROGUE, Argentina","1018, Samuel Miguel Spiro, Adrogué, Partido de Almirante Brown, Buenos Aires, B1846, Argentina",-34.7993344,-58.3921194
SAN MARTIN Nº 8,SAN LORENZO 2631,SAN MARTIN,SAN LORENZO 2631,"SAN LORENZO 2631, SAN MARTIN, Argentina","2631, San Lorenzo, Los Talleres, Remedios de Escalada, Partido de Lanús, Buenos Aires, 1825, Argentina",-34.7254179,-58.3785054
SAN MARTIN Nº 7,SAN LORENZO 2682,SAN MARTIN,SAN LORENZO 2682,"SAN LORENZO 2682, SAN MARTIN, Argentina","2682, San Lorenzo, Los Talleres, Remedios de Escalada, Partido de Lanús, Buenos Aires, 1825, Argentina",-34.7257007,-58.3785321
MORON Nº 06,GENERAL BARTOLOME MITRE 1119,MORON,GENERAL BARTOLOME MITRE 1119,"GENERAL BARTOLOME MITRE 1119, MORON, Argentina",,,
QUILMES Nº 8,ANDRES BARANDA 126,QUILMES,ANDRES BARANDA 126,"ANDRES BARANDA 126, QUILMES, Argentina","126, Andrés Baranda, Quilmes Este, Quilmes, Partido de Quilmes, Buenos Aires, 1877, Argentina",-34.7178149,-58.2745333
CAPITAL FEDERAL Nº 080,TALCAHUANO 750,CABA,TALCAHUANO 750,"TALCAHUANO 750, CABA, Argentina","750, Talcahuano, San Nicolás, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, 1013, Argentina",-34.5998377,-58.3855126
HURLINGHAM Nº 3,AVENIDA JULIO ARGENTINO ROCA 1755,HURLINGHAM,AVENIDA JULIO ARGENTINO ROCA 1755,"AVENIDA JULIO ARGENTINO ROCA 1755, HURLINGHAM, Argentina","1755, Avenida Julio Argentino Roca, Hurlingham, Partido de Hurlingham, Buenos Aires, B1686, Argentina",-34.5825946,-58.6363014
ADROGUE Nº 1,SPIRO 1018,ADROGUE,SPIRO 1018,"SPIRO 1018, ADROGUE, Argentina","1018, Samuel Miguel Spiro, Adrogué, Partido de Almirante Brown, Buenos Aires, B1846, Argentina",-34.7993344,-58.3921194
CORDOBA Nº 22,AVENIDA FUERZA AEREA 1919,CORDOBA,AVENIDA FUERZA AEREA 1919,"AVENIDA FUERZA AEREA 1919, CORDOBA, Argentina","1919, Avenida Fuerza Aérea, Parque Capital, Córdoba, Municipio de Córdoba, Pedanía Capital, Departamento Capital, Córdoba, X5011, Argentina",-31.4306162,-64.2157237
EZEIZA Nº 2,FARIÑA 123,TRISTAN SUAREZ,FARIÑA 123,"FARIÑA 123, TRISTAN SUAREZ, Argentina","Antonio Fariña, Tristán Suárez, Partido de Ezeiza, Buenos Aires, 1806, Argentina",-34.8888335,-58.5618276
CAPITAL FEDERAL Nº 088,PRESIDENTE JUAN DOMINGO PERON 1615,CABA,PRESIDENTE JUAN DOMINGO PERON 1615,"PRESIDENTE JUAN DOMINGO PERON 1615, CABA, Argentina","Centro de Formación Profesional 03 Presidente Juan Domingo Perón - UOCRA, Humberto I, San Cristóbal, Buenos Aires, Comuna 3, Ciudad Autónoma de Buenos Aires, 1229, Argentina",-34.6219368,-58.3975566
MERLO Nº 5,SUIPACHA 898,MERLO,SUIPACHA 898,"SUIPACHA 898, MERLO, Argentina","Suipacha, Lago del Bosque, Merlo, Partido de Merlo, Buenos Aires, B1722ERH, Argentina",-34.6694257,-58.7364948
ADROGUE Nº 6,BARTOLOME CERRETTI 812,ADROGUE,BARTOLOME CERRETTI 812,"BARTOLOME CERRETTI 812, ADROGUE, Argentina","812, Bartolomé Cerretti, Adrogué, Partido de Almirante Brown, Buenos Aires, B1846, Argentina",-34.7986061,-58.387509
